"subject"	"activities"	"feature"	"mean"
1	"LAYING"	"Average Frequency Domain Body Acceleration Jerk Mean X"	-0.9570738838
1	"LAYING"	"Average Frequency Domain Body Acceleration Jerk Mean Y"	-0.9224626098
1	"LAYING"	"Average Frequency Domain Body Acceleration Jerk Mean Z"	-0.9480609042
1	"LAYING"	"Average Frequency Domain Body Acceleration Jerk Standard Deviation X"	-0.9641607086
1	"LAYING"	"Average Frequency Domain Body Acceleration Jerk Standard Deviation Y"	-0.9322178704
1	"LAYING"	"Average Frequency Domain Body Acceleration Jerk Standard Deviation Z"	-0.9605869872
1	"LAYING"	"Average Frequency Domain Body Acceleration  Magnitude Mean "	-0.8617676481
1	"LAYING"	"Average Frequency Domain Body Acceleration  Magnitude Standard Deviation "	-0.7983009404
1	"LAYING"	"Average Frequency Domain Body Acceleration  Mean X"	-0.9390990524
1	"LAYING"	"Average Frequency Domain Body Acceleration  Mean Y"	-0.86706520518
1	"LAYING"	"Average Frequency Domain Body Acceleration  Mean Z"	-0.8826668762
1	"LAYING"	"Average Frequency Domain Body Acceleration  Standard Deviation X"	-0.9244374346
1	"LAYING"	"Average Frequency Domain Body Acceleration  Standard Deviation Y"	-0.8336255561
1	"LAYING"	"Average Frequency Domain Body Acceleration  Standard Deviation Z"	-0.81289155944
1	"LAYING"	"Average Frequency Domain BodyBody Acceleration Jerk Magnitude Mean "	-0.9333003608
1	"LAYING"	"Average Frequency Domain BodyBody Acceleration Jerk Magnitude Standard Deviation "	-0.9218039756
1	"LAYING"	"Average Frequency Domain BodyBody Gyroscope Jerk Magnitude Mean "	-0.9423669466
1	"LAYING"	"Average Frequency Domain BodyBody Gyroscope Jerk Magnitude Standard Deviation "	-0.9326606676
1	"LAYING"	"Average Frequency Domain BodyBody Gyroscope  Magnitude Mean "	-0.8621901854
1	"LAYING"	"Average Frequency Domain BodyBody Gyroscope  Magnitude Standard Deviation "	-0.82431943968
1	"LAYING"	"Average Frequency Domain Body Gyroscope  Mean X"	-0.850249174586
1	"LAYING"	"Average Frequency Domain Body Gyroscope  Mean Y"	-0.9521914948
1	"LAYING"	"Average Frequency Domain Body Gyroscope  Mean Z"	-0.909302721
1	"LAYING"	"Average Frequency Domain Body Gyroscope  Standard Deviation X"	-0.8822964508
1	"LAYING"	"Average Frequency Domain Body Gyroscope  Standard Deviation Y"	-0.9512320494
1	"LAYING"	"Average Frequency Domain Body Gyroscope  Standard Deviation Z"	-0.9165825082
1	"LAYING"	"Average Time Domain Body Acceleration Jerk Magnitude Mean "	-0.9543962646
1	"LAYING"	"Average Time Domain Body Acceleration Jerk Magnitude Standard Deviation "	-0.9282456284
1	"LAYING"	"Average Time Domain Body Acceleration Jerk Mean X"	0.0810865342
1	"LAYING"	"Average Time Domain Body Acceleration Jerk Mean Y"	0.0038382040088
1	"LAYING"	"Average Time Domain Body Acceleration Jerk Mean Z"	0.010834236361
1	"LAYING"	"Average Time Domain Body Acceleration Jerk Standard Deviation X"	-0.958482112
1	"LAYING"	"Average Time Domain Body Acceleration Jerk Standard Deviation Y"	-0.9241492736
1	"LAYING"	"Average Time Domain Body Acceleration Jerk Standard Deviation Z"	-0.9548551108
1	"LAYING"	"Average Time Domain Body Acceleration  Magnitude Mean "	-0.8419291525
1	"LAYING"	"Average Time Domain Body Acceleration  Magnitude Standard Deviation "	-0.79514486386
1	"LAYING"	"Average Time Domain Body Acceleration  Mean X"	0.22159824394
1	"LAYING"	"Average Time Domain Body Acceleration  Mean Y"	-0.0405139534294
1	"LAYING"	"Average Time Domain Body Acceleration  Mean Z"	-0.11320355358
1	"LAYING"	"Average Time Domain Body Acceleration  Standard Deviation X"	-0.9280564692
1	"LAYING"	"Average Time Domain Body Acceleration  Standard Deviation Y"	-0.83682740562
1	"LAYING"	"Average Time Domain Body Acceleration  Standard Deviation Z"	-0.826061401628
1	"LAYING"	"Average Time Domain Body Gyroscope Jerk Magnitude Mean "	-0.96346103
1	"LAYING"	"Average Time Domain Body Gyroscope Jerk Magnitude Standard Deviation "	-0.9358409828
1	"LAYING"	"Average Time Domain Body Gyroscope Jerk Mean X"	-0.107270949192
1	"LAYING"	"Average Time Domain Body Gyroscope Jerk Mean Y"	-0.04151728689
1	"LAYING"	"Average Time Domain Body Gyroscope Jerk Mean Z"	-0.0740501211
1	"LAYING"	"Average Time Domain Body Gyroscope Jerk Standard Deviation X"	-0.9186085208
1	"LAYING"	"Average Time Domain Body Gyroscope Jerk Standard Deviation Y"	-0.9679072436
1	"LAYING"	"Average Time Domain Body Gyroscope Jerk Standard Deviation Z"	-0.9577901596
1	"LAYING"	"Average Time Domain Body Gyroscope  Magnitude Mean "	-0.874759548
